Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of Program,Core or Non-Core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
1997,KABC,ABC,LOS ANGELES,4,ANALOG,JACK HANNA'S ANIMAL ADVENTURES,NON-CORE,SYNDICATED,SAT VARIOUS TIMES,14,0,30,13,16,"This program features Jack Hanna's worldly adventures to the remote jungles, rain forests, sea coasts and parks where kids meet new friends and learn about the importance of animals to our ecological system.",99,N/A,N/A,N/A
1997,KABC,ABC,LOS ANGELES,4,ANALOG,NICK NEWS,NON-CORE,SYNDICATED,SAT VARIOUS TIMES,13,0,30,6,11,This program introduces kids to topical newsworthy information and features a variety of stories and people which helps open kids up to learn more about the world around them.,99,N/A,N/A,N/A
1997,KABC,ABC,LOS ANGELES,4,ANALOG,WILD ABOUT ANIMALS,NON-CORE,SYNDICATED,SAT ,13,0,30,7,16,"This program explores the mysteries of wild and domestic animals, introducing kids to animals of all kinds where they get to learn about their instincts, behaviors and natural habitats. Also the show regularly offers pet tips.",99,N/A,N/A,N/A
1997,KCAL,N/A,LOS ANGELES,3,ANALOG,BELLE'S BOOKSHOP: SING ME A STORY,CORE,SYNDICATED,SAT 8:30-9:00 AM,13,0,30,4,12,"This live action Belle teaches children significan lessons of life through readings and songs. In each half-hour episode, Belle invites kids into her enchanted Book and Music Shop to retell classic Disney fables. And with the help of puppets, story telling, song and dances, Belle teaches children valuable lessons of life.",99,N/A,N/A,N/A
1997,KCAL,N/A,LOS ANGELES,3,ANALOG,DISNEY PRESENTS BILL NYE THE SCIENCE GUY,CORE,SYNDICATED,SAT 9:00-9:30 AM,13,0,30,5,16,"""BILL NYE THE SCIENCE GUY"" - Science Guy Bill Nye entertains and engages children while teaching fairly sophisticated scientific concepts. Program segments include lab experiments, video field trips and informative visits with television stars and Vice President Al Gore. Recent episodes have focused on the difference between human and animal communication, the human brain, mammals, rivers and streams, computers and nutrition.",99,N/A,N/A,N/A
1997,KCAL,N/A,LOS ANGELES,3,ANALOG,POPULAR MECHANICS FOR KIDS,CORE,SYNDICATED,SAT 1:30-2:00 PM,13,2,30,8,12,"""Popular Mechanics For Kids"" - gives young viewers a first-hand look at how things are built and operated. The ""How Team"" reporters go to work sites where the experts provide hands-on demonstrations.",N/A,N/A,N/A,N/A
1997,KCAL,N/A,LOS ANGELES,3,ANALOG,FIELD TRIP,CORE,SYNDICATED,SAT 9:30-10:00 AM,13,0,30,6,12,"""FIELD TRIP"" - This program takes a look at history, art, music and science from a different angle ""up close and personal"". Children go on exciting, fun-filled real life adventures. ""Field Trip"" encourages independent exploration with suggested reading and resources for other information.",99,N/A,N/A,N/A
1997,KCAL,N/A,LOS ANGELES,3,ANALOG,PEER PRESSURE,CORE,SYNDICATED,SAT 12:30-1:00 PM,13,0,30,13,16,"""PEER PRESSURE"" - This is a game show which incorporates social and cultural issues facing today's teens and teaches them how to make the right decisions. The program provides teens a better understanding of the factors that influence the choices that they make and helps them make educated choices that will further their social and emotional development.",99,N/A,N/A,N/A
1997,KCAL,N/A,LOS ANGELES,3,ANALOG,CLICK,CORE,SYNDICATED,SAT 1:00-1:30 PM,13,2,30,13,16,"""CLICK"" - Click is a teen oriented educational game show. It teaches teens the importance of team work and incorporates questions from the world of entertainment and sports, as well as questions in math, science, literature, history, and current events.",N/A,N/A,N/A,N/A
1997,KCBS,CBS,LOS ANGELES,3,ANALOG,BEAKMAN'S WORLD,CORE,NETWORK,SAT 7:00-7:30 AM,12,1,30,6,11,"In this series, the scientist host, Beakman, responds to viewer's questions about a variety of scientific phenomena by performing experiments and demonstrations. The objectives of the program are to increase early school age children's knowledge of selected scientific facts and principles, to stimulate their curiosity about the world around them, and to teach them to understand and use scientific techniques and methods to learn about the world. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",N/A,N/A,N/A,N/A
1997,KCBS,CBS,LOS ANGELES,3,ANALOG,THE NEW GHOSTWRITER MYSTERIES,CORE,NETWORK,SAT 8:00-8:30 AM,12,1,30,7,11,"In this series, three young sleuths join forces to solve mysteries. Reading, writing and problem-solving skills all come into play, as the children's other-worldly ally, ""Ghostwriter,"" provides them with written answers to their questions, thereby helping them to solve each mystery. The objective of the program is to provide compelling opportunities for school-age children to read and write, thereby motivating them to enjoy and value these skills. The program also seeks to show children how to use effective reading and writing strategies. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",N/A,N/A,N/A,N/A
1997,KCBS,CBS,LOS ANGELES,3,ANALOG,WHEEL OF FORTUNE 2000,CORE,NETWORK,SAT 8:30-9:00 AM,12,1,30,7,11,"In this program, children compete to solve word and language puzzles that are based on age-appropriate educational material similar to that found in the traditional school curriculum. The objectives of the program are to demonstrate to viewers techniques of defining a problem and judging information, and to teach them how principles of critical thinking can be applied to solve the puzzles. The program also aims to teach children information and facts about science, mathematics, history, language, the arts music and sports through the program's games and activities. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",N/A,N/A,N/A,N/A
1997,KCBS,CBS,LOS ANGELES,3,ANALOG,THE SPORTS ILLUSTRATED FOR KIDS SHOW,CORE,NETWORK,SAT 9:00-9:30 AM,12,1,30,7,11,"In this series, two young hosts go behind the scenes to interview successful athletes and provide information about their lives both on and off the field. The program also provides information about health, fitness and nutrition, and presents the views of children on a variety of issues of public significance. The program seeks to help children understand the level of training, discipline, perseverence and practice it takes to be a successful athlete, so that they can incorporate some level of these traits in their own lives. It also aims to encourage children to participate in physical activities as an individual and/or team member, in both competitive and non-competitive settings, and to teach them the importance of maintaining good health and nutritional practices. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",N/A,N/A,N/A,N/A
1997,KCBS,CBS,LOS ANGELES,3,ANALOG,THE WEIRD AL SHOW,CORE,NETWORK,SAT 9:30-10:00 AM,12,1,30,7,11,"In this program, the host, Al Yankovic, brings his distinctive personality and humor to bear on various situations and interactions with others, in order to convey to children messages relating to honesty, self-expression, personal responsibility, cooperation, respect for oneself and others, and other issues critical to social development. The program aims to help viewers appreciate the uniqueness of each individual and the strengths inherent in a diverse society, and to foster children's pro-social development. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",N/A,N/A,N/A,N/A
1997,KCBS,CBS,LOS ANGELES,3,ANALOG,FUDGE,CORE,NETWORK,SAT 7:30-8:00 AM,12,1,30,5,9,"Based on the book series by award-winning author Judy Blume, the program follows its soon-to-be-teen protagonist as he deals with the trials and tribulations into which he is led by his little brother Fudge. The program focuses on issues young children need to understand in order to move successfully toward the next stage of social-emotional development. Its objectives are to help young viewers, through story-telling and program content, to learn about and put into practice some of the basic techniques associated with conflict resolution, and makes them aware of some of the ways to mediate and resolve conflict using prosocial behaviors. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",N/A,N/A,N/A,N/A
1997,KCBS,CBS,LOS ANGELES,3,ANALOG,THE CRAYOLA KIDS ADVENTURES- GULLIVER'S TRAVELS,NON-CORE,NETWORK,THURS 12:30-1:30 PM,1,0,60,7,11,"This live-action series features adaptations of literary classics, tailored specifically for children age 6 and older. The time-honored stories feature child actors in all roles. The objective of the series is to stimulate interest in reading and in classic literature.",99,N/A,N/A,N/A
1997,KCBS,CBS,LOS ANGELES,3,ANALOG,IN THE NEWS,NON-CORE,NETWORK,DID NOT REPORT,99,0,1,7,11,"This short form program consists of a series of one-minute vignettes highlighting current events. The objectives of the program are to inform children about important events taking place at local, state, and national levels and around the world, and to stimulate and foster their interest in seeking information about current events through various print and electronic media. The vignettes air on a weekly basis within each of the following core educational and informational programs - Beakman's world, Fudge, The Ghostwriter Mysteries, and The Weird Al Show.",99,N/A,N/A,N/A
1997,KCBS,CBS,LOS ANGELES,3,ANALOG,THE SPORTS ILLUSTRATED FOR KIDS SHOW,NON-CORE,NETWORK,THURS 11:30-12:30 PM,1,0,60,7,11,"In this series, two young hosts go behind the scenes to interview successful athletes and provide information about their lives both on and off the field. The program also provides information about health, fitness and nutrition, and presents the views of children on a variety of issues of public significance. The program seeks to help children understand the level of training, discipline, perseverence and practice it takes to be a successful athlete, so that they can incorporate some level of these traits in their own lives. It also aims to encourage children to participate in physical activities as an individual and/or team member, in both competitive and non-competitive settings, and to teach them the importance of maintaining good health and nutritional practices. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,N/A,N/A
1997,KCOP,UPN,LOS ANGELES,3,ANALOG,BANANAS IN PAJAMAS/THE CRAYON BOX,CORE,SYNDICATED,MON-FRI 8:30-9:00 AM,66,0,30,2,6,"""BANANAS IN PAJAMAS"" - This live action series features mischievous twins who live in a colorful storybook world with their friends, the teddies, and the lovable rogue Rat-in-the-Hat. Together they engage in wondrous adventures that capture the imagination of children. These endearing stories teach young children about social concepts such as sharing, generousity, cooperation, following directions, and creative expression.",99,N/A,N/A,N/A
1997,KCOP,UPN,LOS ANGELES,3,ANALOG,THE ALL NEW CAPTAIN KANGAROO,CORE,SYNDICATED,SUN 7:00-7:30 AM,13,0,30,2,8,"""THE ALL NEW CAPTAIN KANGAROO"" - The program is built on the underlying premise that the growing intelligence of the young child is unique and fundamentally different from school-aged children. Major goals are to help develop a sense of self-esteem, exhibit a positive attitude toward life, demonstrate cooperation and pro-social behavior.",99,N/A,N/A,N/A
1997,KCOP,UPN,LOS ANGELES,3,ANALOG,ALGO'S FACTORY,NON-CORE,NETWORK,SUN 6:30-7:00 AM,13,0,30,8,14,"""ALGO'S FACTORY"" - This educational program is designed to instill in children an interest in science, math and technology. This FCC friendly show will motivate kids and spark their imaginations.",99,N/A,N/A,N/A
1997,KDOC,N/A,LOS ANGELES,3.5,ANALOG,THE FROOZLES,CORE,LOCAL,M-W-F 10:00-10:30 AM & SAT 7:00-7:30 AM,53,1,30,2,6,"""THE FROOZLES"" - This program is entertaining, enlightening and educational, which expends the cognitive and intellectual powers of the children and demonstrates how to use these principles for the well being of their emotional and social life.",N/A,N/A,N/A,N/A
1997,KDOC,N/A,LOS ANGELES,3.5,ANALOG,TEEN TALK,CORE,LOCAL,SAT 7:30-8:00 AM,13,0,30,12,16,"""TEEN TALK"" - Teens and pre-teens share real life experiences and lessons they have learned with a licensed counselor/therapist.",99,N/A,N/A,N/A
1997,KDOC,N/A,LOS ANGELES,3.5,ANALOG,BOOKMICE,CORE,SYNDICATED,THURS 10:30-11:00 AM,14,2,30,0,0,"""BOOKMICE"" - Three fun-loving mice, live secretly behind the walls of the neighborhood library. Humor, wonder, stories, music and delightful animation are present in the everyday adventures of the mice, as they explore the wondrous world of books and the library's many friends and activities. Along with encouraging love of reading, these programs promote social values, as children learn about helping others, the importance of honesty and overcoming fears.",N/A,N/A,N/A,N/A
1997,KDOC,N/A,LOS ANGELES,3.5,ANALOG,NEW ZOO REVUE,CORE,SYNDICATED,TUES 10:30-11:00 AM,13,0,30,3,12,"""NEW ZOO REVUE"" - This show brings an understanding of the good and bad in life to children by teaching a way of life through music. The show has three costumed characters and features two human stars who guide children through situations they will encounter day to day with the use of music, song and dance.",99,N/A,N/A,N/A
1997,KDOC,N/A,LOS ANGELES,3.5,ANALOG,THE PET PLACE,NON-CORE,LOCAL,SAT 6:00-6:30 PM,13,0,30,0,0,A program that aims to educate adults and children alike on the growing population of stray animals and the importance of pet care.,99,N/A,N/A,N/A
1997,KHIZ,N/A,LOS ANGELES,6,ANALOG,"BILL NYE, THE SCIENCE GUY",CORE,SYNDICATED,SAT 3:30-4:00 PM,13,1,30,6,11,"""BILL NYE THE SCIENCE GUY"" - Science Guy Bill Nye entertains and engages children while teaching fairly sophisticated scientific concepts. Episodes have focused on the difference between human and animal communication, the human brain, mammals, rivers and streams, computers and nutrition. The show includes experiments kids can do at home that reinforce concepts taught on the program.",N/A,N/A,N/A,N/A
1997,KHIZ,N/A,LOS ANGELES,6,ANALOG,NEW ZOO REVUE,CORE,SYNDICATED,MON-FRI 8:30-9:00 AM,66,0,30,3,10,"""NEW ZOO REVUE"" - This show brings an understanding of the good and bad in life to children by teaching a way of life through music. The show has three costumed characters and features two human stars who guide children through situations they will encounter day to day with the use of music, song and dance.",99,N/A,N/A,N/A
1997,KHIZ,N/A,LOS ANGELES,6,ANALOG,BOOKMICE,CORE,SYNDICATED,MON-FRI 9:00-9:30 AM,66,0,30,3,10,"""BOOKMICE"" - Three fun-loving mice, live secretly behind the walls of the neighborhood library. Humor, wonder, stories, music and delightful animation are present in the everyday adventures of the mice, as they explore the wondrous world of books and the library's many friends and activities. Along with encouraging love of reading, these programs promote social values, as children learn about helping others, the importance of honesty and overcoming fears.",99,N/A,N/A,N/A
1997,KHIZ,N/A,LOS ANGELES,6,ANALOG,SING ME A STORY WITH BELLE,CORE,SYNDICATED,SAT 3:00-3:30 PM,13,0,30,2,6,"""DISNEY'S SING A STORY WITH BELLE"" - The series is designed to teach young children, through a series of classic stories and discussions, about fundamentals, morals and educational lessons of life. The show adresses issues like overcoming fears, working with others, understanding diversity, dealing with problems, etc. Reading is strongly encouraged throughout the series.",99,N/A,N/A,N/A
1997,KHIZ,N/A,LOS ANGELES,6,ANALOG,NATIONAL GEOGRAPHIC ON ASSIGNMENT,NON-CORE,SYNDICATED,"10/4 7PM, 10/5 1PM, 11/1 12PM, 11/15 11AM, 12/13 12PM",5,0,60,3,16,"""NATIONAL GEOGRAPHIC"" - This program features travels to other countries and regions, ancient discoveries, plants, and animals, for pre-school, elementary, junior-high and high school aged children.",99,N/A,N/A,N/A
1997,KHSC,HSN,LOS ANGELES,3,ANALOG,VEGETABLE SOUP,CORE,SYNDICATED,SUN 7:00-7:30 AM,13,0,30,5,12,"This educational magazine show for children features guest hosts who introduce studio, puppet and animated segments. Human relations, language skills and science are taught.",99,N/A,N/A,N/A
1997,KHSC,HSN,LOS ANGELES,3,ANALOG,NEW ZOO REVUE,CORE,SYNDICATED,SUN 7:30-8:00 AM,13,0,30,4,9,"""NEW ZOO REVUE"" - This show brings an understanding of the good and bad in life to children by teaching a way of life through music. The show has three costumed characters and features two human stars who guide children through situations they will encounter day to day with the use of music, song and dance.",99,N/A,N/A,N/A
1997,KHSC,HSN,LOS ANGELES,3,ANALOG,BOOKMICE,CORE,SYNDICATED,SUN 8:00-8:30 AM,13,0,30,5,8,"""BOOKMICE"" - Three fun-loving mice, live secretly behind the walls of the neighborhood library. Humor, wonder, stories, music and delightful animation are present in the everyday adventures of the mice, as they explore the wondrous world of books and the library's many friends and activities. Along with encouraging love of reading, these programs promote social values, as children learn about helping others, the importance of honesty and overcoming fears.",99,N/A,N/A,N/A
1997,KHSC,HSN,LOS ANGELES,3,ANALOG,JACK HOUSTON'S IMAGINELAND,CORE,SYNDICATED,SUN 8:30-9:00 AM,13,0,30,4,9,"This Telly award-winning educational and informational program for children features singer storyteller Jack Houston and the characters who live on his farm. Through live action and puppetry, Mr. Houston and his animal friends deal with a wide spectrum of life experiences. Children learn valuable life lessons, from the importance of reading to the importance of friends and everything between.",99,N/A,N/A,N/A
1997,KHSC,HSN,LOS ANGELES,3,ANALOG,MUSICAL ENCOUNTER,CORE,SYNDICATED,SUN 9:00-9:30 AM,13,0,30,6,12,This award-winning educational series is designed to foster music appreciation in youngsters. The primary focus of each program is to impart knowledge about a particular musical instrument or style of music.,99,N/A,N/A,N/A
1997,KHSC,HSN,LOS ANGELES,3,ANALOG,YOUNG AMERICA OUTDOORS,CORE,SYNDICATED,SUN 9:30-10:00 AM,13,0,30,13,16,"""YOUNG AMERICA OUTDOORS"" - Young America Outdoors educates and informs children about the various outdoor activities they can enjoy. It covers environmental issues, and teaches kids about the outdoors and its habitats. Young America Outdoors exposes children to useful information on activities they can participate in to further expand and enhance their knowledge.",99,N/A,N/A,N/A
1997,KMEX-TV,N/A,LOS ANGELES,3,ANALOG,PLAZA SESAMO,CORE,NETWORK,SAT & SUN 8:00-9:00 AM,26,0,60,2,5,"""Sesamo"" - provides reading readiness training, early mathematics skills, education in health, hygiene and nutrition, and provides encouragement and stimulation for academic success. Produced by CTW specifically for a Spanish-language audience.",99,N/A,N/A,N/A
1997,KMEX-TV,N/A,LOS ANGELES,3,ANALOG,GIORGIOMANIA,CORE,NETWORK,SAT 10:00-11:00 AM,13,0,60,6,11,"""Giorgiomania"" - a program organized around a combination of live-action and animated educational segments which are designed to teach children about different cultures, historical personalities, science, animals, and the environment.",99,N/A,N/A,N/A
1997,KNBC,NBC,LOS ANGELES,3,ANALOG,SAVED BY THE BELL: THE NEW CLASS (1),CORE,NETWORK,SAT 8:00-8:30 AM,13,0,30,13,16,"The educational objective of this program is to demonstrate how the knowledge of one or more characters in the story moves from one level to a more informed or higher level of knowledge by the end of each episode. This change in knowledge conveys an educational message to the audience which may fall into one or more categories - intellectual-cognitive and/or socio-emotional. The message will always be integral to the plot and present throughout the script. This objective is achieved through this series by exploring social themes through the daily school life of six teenage friends at Bayside High who help each other make the most of growing up in a complicated world. The Bayside kids give teens a useful perspective on many of the tough issues they have to face both in their peer relationships, and in personal decision-making both in and out of the classroom.",99,N/A,N/A,N/A
1997,KNBC,NBC,LOS ANGELES,3,ANALOG,SAVED BY THE BELL: THE NEW CLASS (2),CORE,NETWORK,SAT 9:00-9:30 AM,13,1,30,13,16,"The educational objective of this program is to demonstrate how the knowledge of one or more characters in the story moves from one level to a more informed or higher level of knowledge by the end of each episode. This change in knowledge conveys an educational message to the audience which may fall into one or more categories - intellectual-cognitive and/or socio-emotional. The message will always be integral to the plot and present throughout the script. This objective is achieved through this series by exploring social themes through the daily school life of six teenage friends at Bayside High who help each other make the most of growing up in a complicated world. The Bayside kids give teens a useful perspective on many of the tough issues they have to face both in their peer relationships, and in personal decision-making both in and out of the classroom.",N/A,N/A,N/A,N/A
1997,KNBC,NBC,LOS ANGELES,3,ANALOG,HANG TIME (1),CORE,NETWORK,SAT 9:30-10:00 AM,13,1,30,13,16,"The educational objective of this program is to demonstrate how the knowledge of one or more characters in the story moves from one level to a more informed or higher level of knowledge by the end of each episode. This change in knowledge conveys an educational message to the audience which may fall into one or more categories - intellectual-cognitive and/or socio-emotional. The message will always be integral to the plot and present throughout the script. This objective is achieved in this series by examining how a boy's team accepts a female player, and by exploring themes related to group processes, such as teamwork, reciprocity, cooperation and competition, tolerance and acceptance. As the team and their close friends go through each basketball season, they face new challenges and solve problems through individual effort and mutual support.",N/A,N/A,N/A,N/A
1997,KNBC,NBC,LOS ANGELES,3,ANALOG,HANG TIME (2),CORE,NETWORK,SAT 10:00-10:30 AM,13,2,30,13,16,"The educational objective of this program is to demonstrate how the knowledge of one or more characters in the story moves from one level to a more informed or higher level of knowledge by the end of each episode. This change in knowledge conveys an educational message to the audience which may fall into one or more categories - intellectual-cognitive and/or socio-emotional. The message will always be integral to the plot and present throughout the script. This objective is achieved in this series by examining how a boy's team accepts a female player, and by exploring themes related to group processes, such as teamwork, reciprocity, cooperation and competition, tolerance and acceptance. As the team and their close friends go through each basketball season, they face new challenges and solve problems through individual effort and mutual support.",N/A,N/A,N/A,N/A
1997,KNBC,NBC,LOS ANGELES,3,ANALOG,NBA: INSIDE STUFF,CORE,NETWORK,SAT 10:30-11:00 AM,13,5,30,13,16,"The educational objective of this program is to introduce the teen audience to the pro-social, off-court activities of basketball players and other individuals, and to individuals who have overcome various obstacles in order to achieve their goals. The program segments are based on a curriculum inspired by the U.S. Department of Education's Goals 2000, with particular focus on messages encouraging the following values: school completion, community service, cooperation, tolerance of differences,healthful practices and athletics, peaceful conflict resolutions and global awareness. These educational and informational messages are conveyed primarily through real life examples, interviews and commentary by the program's hosts.",N/A,N/A,N/A,N/A
1997,KNBC,NBC,LOS ANGELES,3,ANALOG,CITY GUYS,CORE,NETWORK,SAT 8:30-9:00 AM,12,1,30,13,16,"The educational objective of this program is to demonstrate how the knowledge of one or more characters in the story moves from one level to a more informed or higher level of knowledge by the end of each episode. This change in knowledge conveys an educational message to the audience which may fall into one or more categories - intellectual-cognitive and/or socio-emotional. The message will always be integral to the plot and present throughout the script. This objective is achieved in this series by exploring the pressures of living in a big city environment where situations are sometimes so difficult and challenging, kids have to learn sophisticated and responsible decision-making to be safe and stay focused. The series follows the encounters and problem-solving of two young men through an eventful school year at Manhattan High and shows teens how to work with their principal, family and friends to be successful.",N/A,N/A,N/A,N/A
1997,KRCA,N/A,LOS ANGELES,3,ANALOG,WONDERFUL SPIRITS- CHINESE LANGUAGE-MANDARIN,CORE,SYNDICATED,MON & THURS 4:30-5:00 PM,18,0,30,5,12,This program is educational and intended to inform children 16 years of age and under. Different values in our daily life and how they are applied are discussed in this series. Subjects such as respect not only for people but for the environment are reviewed.,99,N/A,N/A,N/A
