Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days,,,,,
2000,WCVB-TV,ABC,"Boston, MA",4,Analog,"Winnie the Pooh and Christmas, Too",Non-Core,Network,(12/3) Sunday 7-7:30PM,1,0,30,3,6,"Pooh and Piglet retrieve a letter to Santa, but while trying to add some forgotten Christmas wishes, their plans go amiss. Realizing the letter won't find its way to the North Pole in time, Pooh and Piglet decide to find Santa, with some decidedly comedic results. The program highlights the importance of friendship and helping others.",99,N/A,N/A,N/A,,,,,
2000,WDPX,PAX TV,"Boston, MA",3,Analog,Jack Hanna's Animal Adventures,Core,Network,Mon-Fri 1-1:30PM & 1:30-2PM,30,0,30,13,16,"Jack Hanna's Animal Adventures is a live-action program designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode follows Jack Hanna as he spends time with animals from all continents. Jack interviews people knowledgeable about each animal and their habitat. Children will learn about ecology, respnosibility for the environment and sharing the planet with the animals.",99,N/A,N/A,N/A,,,,,
2000,WDPX,PAX TV,"Boston, MA",3,Analog,Jack Hanna's Animal Adventures,Core,Network,Mon-Thurs 1-1:30PM,24,0,30,13,16,"Jack Hanna's Animal Adventures is a live-action program designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode follows Jack Hanna as he spends time with animals from all continents. Jack interviews people knowledgeable about each animal and their habitat. Children will learn about ecology, respnosibility for the environment and sharing the planet with the animals.",99,N/A,N/A,N/A,,,,,
2000,WDPX,PAX TV,"Boston, MA",3,Analog,Jack Hanna's Animal Adventures,Core,Network,Fridays 1-1:30PM & 1:30-2PM,20,0,30,13,16,"Jack Hanna's Animal Adventures is a live-action program designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode follows Jack Hanna as he spends time with animals from all continents. Jack interviews people knowledgeable about each animal and their habitat. Children will learn about ecology, respnosibility for the environment and sharing the planet with the animals.",99,N/A,N/A,N/A,,,,,
2000,WDPX,PAX TV,"Boston, MA",3,Analog,Jack Hanna's Animal Adventures,Core,Network,Mon-Thurs 1:30-2PM,16,0,30,13,16,"Jack Hanna's Animal Adventures is a live-action program designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode follows Jack Hanna as he spends time with animals from all continents. Jack interviews people knowledgeable about each animal and their habitat. Children will learn about ecology, respnosibility for the environment and sharing the planet with the animals.",99,N/A,N/A,N/A,,,,,
2000,WFXT,FOX,"Boston, MA",4.1,Analog,The Magic Schoolbus,Core,Network,Mondays 3-3:30PM & Mon-Fri 7-7:30AM,68,0,30,6,9,"A significant purpose of Scholastic’s “The Magic School Bus” is to educate and inform children between the ages of 6 and 9. The educational and informational objectives of the series are to: motivate children’s interest in science; introduce science ideas; inspire positive attitudes toward science and education; and model age appropriate science problem solving behavior. Each of the fifty-two half-hour episodes explores a different science topic through an animated journey aboard the magically transformed school bus to destinations such as the center of the earth, inside the human body, to outer space, to remote ecological environments, inside of a molecule, and inside of a plant. The program is regularly scheduled and airs between the hours of 7:00 am and 10:00 pm. The program is 30 minutes in length, and is identified as an educational and informational show, targeted to 6 to 9 year olds, at the beginning of each broadcast and in listings provided to publishers of program guides.",99,N/A,N/A,N/A,,,,,
2000,WFXT,FOX,"Boston, MA",4.1,Analog,Under the Helmet,Core,Network,Saturdays 12-12:30PM,13,1,30,13,16,"NFL “Under The Helmet” showcases the pro-social on and off the field activities of the NFL’s leading players and coaches. Working with the National Association for Sports and Physical Education, the program (1) educates teens about dedication, hard work, teamwork, goal setting and community service, (2) provides examples of responsible social and personal behavior, (3) demonstrates how to deal constructively with the differences among people, and (4) teaches the benefits of physical activity and fitness. The program is regularly scheduled and airs between the hours of 7:00 am and 10:00 pm. The program is 30 minutes in length, and is identified as an educational and informational show, targeted to teens (13-16 year olds), at the beginning of each broadcast and in listings provided to publishers of program guides.",N/A,N/A,N/A,N/A,,,,,
2000,WFXT,FOX,"Boston, MA",4.1,Analog,Wild About Animals,Core,Syndicated,Saturdays 7:30-8AM,13,0,30,13,16,"The objective of this series is to educate and inform children by bringing them the most entertaining and interesting stories about the world's most fascinating animals. Each episode consists of at least 4 stories designed to teach children about exotic and unique animals from the wild, as well as to educate them further about animals seen in everyday life.",99,N/A,N/A,N/A,,,,,
2000,WFXT,FOX,"Boston, MA",4.1,Analog,Critter Gitters,Core,Syndicated,Saturdays 7-7:30AM,13,0,30,6,16,The educational goal of the program is to provide an opportunity to discover new ideas and information about animals and their interrelationship with humans. The show is also intended to teach children the need to be respectful of each other and their environment.,99,N/A,N/A,N/A,,,,,
2000,WHDH,NBC,"Boston, MA",3.5,Analog,NBA Inside Stuff,Core,Network,Saturdays 11-11:30AM,13,0,30,13,16,"The educational objective of this program is to introduce the teen audience to the pro-social, off-court activities of basketball players and other individuals, and to individuals who have overcome various obstacles in order to achieve their goals. The program segments are based on a curriculum inspired by the U.S. Department of Education's Goals 2000, with particular focus on messages encouraging the following values: school completion, community service, cooperation, tolerance of differences, healthful practices and athletics, peaceful conflict resolutions and global awareness. These educational and informational messages are conveyed primarily through real life examples, interviews and commentary by the program's hosts.",99,N/A,N/A,N/A,,,,,
2000,WHDH,NBC,"Boston, MA",3.5,Analog,Just Deal,Core,Network,Saturdays 11:30-12PM,13,0,30,13,16,"The educational objective of this program is to take the viewer from one level of knowledge to a more informed or higher level of knowledge within each episode. This is achieved through the storylines, where one or more of the three main characters will demonstrate active problem-solving and decision-making related to a specific topic. Topics include, for example, racial identity, understanding and accepting loss, facing failure, effective communication, conclict management, personal responsibility, service to thers, trust and betrayal, academic achievement, life balance, and tolerance.",99,N/A,N/A,N/A,,,,,
2000,WHDH,NBC,"Boston, MA",3.5,Analog,Hang Time I,Core,Network,Saturdays 12-12:30PM,13,1,30,13,16,"The educational objective of this program is to demonstrate how the knowledge of one or more characters in the story moves from one level to a more informed or higher level of knowledge by the end of each episode. This change in knowledge conveys an educational message to the audience which may fall into one or more categories- intellectual-cognitive and/or socio-emotional. The message will always be integral to the plot and present throughout the script. This objective is achieved in this series by examining how a boy's team accepts a female player, and by exploring themes related to group processes, such as teamwork, reciprocity, cooperation and competition, tolerance and acceptance. As the team and their close friends go through each basketball season, they face new challenges and solve problems through individual effort and mutual support.",N/A,N/A,N/A,N/A,,,,,
2000,WHDH,NBC,"Boston, MA",3.5,Analog,City Guys - A,Core,Network,Saturdays 12:30-1PM,13,2,30,13,16,"The educational objective of this program is to demonstrate how the knowledge of one or more characters in the story moves from one level to a more informed or higher level of knowledge by the end of each episode. This change in knowledge conveys an educational message to the audience which may fall into one or more categories- intellectual-cognitive and/or socio-emotional. The message will always be integral to the plot and present throughout the script. This objective is achieved in this series by exploring the pressures of living in a big city environment where situations are sometimes so difficult and challenging, kids have to learn sophisticated and responsible decision-making to be safe and stay focused. The series follows the encounters and problem-solving of two young men through an eventful school year at Manhattan High and shows teens how to work with their principal, family and friends to be successful.",N/A,N/A,N/A,N/A,,,,,
2000,WHDH,NBC,"Boston, MA",3.5,Analog,One World,Core,Network,Saturdays 1-1:30PM,13,4,30,13,16,"The educational objective of this program is to demonstrate how the knowledge of one or more characters in the story moves from one level to a more informed or higher level of knowledge by the end of each episode. This change in knowledge conveys an educational message to the audience which may fall into one or more categories -- intellectual-cognitive and/or socio-emotional. The message will always be integral to the plot and present throughout the script. This objective is achieved through this series by exploring socio-emotional themes of identity, self-worth, social reciprocity, service to others and acceptance of differences. Through the characters in the show, our audience will see examples of different approaches to resolving problems caused by these issues.",N/A,N/A,N/A,N/A,,,,,
2000,WHDH,NBC,"Boston, MA",3.5,Analog,City Guys - B,Core,Local,Sundays 7-7:30AM,13,0,30,13,16,"The educational objective of this program is to demonstrate how the knowledge of one or more characters in the story moves from one level to a more informed or higher level of knowledge by the end of each episode. This change in knowledge conveys an educational message to the audience which may fall into one or more categories- intellectual-cognitive and/or socio-emotional. The message will always be integral to the plot and present throughout the script. This objective is achieved in this series by exploring the pressures of living in a big city environment where situations are sometimes so difficult and challenging, kids have to learn sophisticated and responsible decision-making to be safe and stay focused. The series follows the encounters and problem-solving of two young men through an eventful school year at Manhattan High and shows teens how to work with their principal, family and friends to be successful.",99,N/A,N/A,N/A,,,,,
2000,WHDH,NBC,"Boston, MA",3.5,Analog,The 7 High School Sports Show,Core,Local,Sundays 12:30-1PM,5,1,30,13,16,"The High School Sports Show is a half hour program aimed at teens which focuses on the positive aspects of high school students, teams and coaches. There are feature stories such as Athlete of the Week and Scholastic Honor Roll that focus on those that have overcome adversity of one kind or another; highlighting a student's achievements in the classroom as well as on the field. The overall positive attitude and academic emphasis of the program helps in the emotional and social education of 13-16 year olds by focusing on stories where teens excel in a particular sport, overcome adversity to achieve goals, or talk about their future athletic and academic goals. To the teen viewers, the outstanding student athletes profiled on the show serve as real role models, sharing the secrets of their high school success. In addition, coming in and out of each commercial break ""Stay in School,"" ""Don't Do Drugs,"" and other public service bumps are used to help educate and inform the targeted 13-16 year old viewers.",N/A,N/A,N/A,N/A,,,,,
2000,WHDH,NBC,"Boston, MA",3.5,Analog,The 7 High School Sports Show,Core,Local,Sundays 1:30-2PM,9,0,30,13,16,"The High School Sports Show is a half hour program aimed at teens which focuses on the positive aspects of high school students, teams and coaches. There are feature stories such as Athlete of the Week and Scholastic Honor Roll that focus on those that have overcome adversity of one kind or another; highlighting a student's achievements in the classroom as well as on the field. The overall positive attitude and academic emphasis of the program helps in the emotional and social education of 13-16 year olds by focusing on stories where teens excel in a particular sport, overcome adversity to achieve goals, or talk about their future athletic and academic goals. To the teen viewers, the outstanding student athletes profiled on the show serve as real role models, sharing the secrets of their high school success. In addition, coming in and out of each commercial break ""Stay in School,"" ""Don't Do Drugs,"" and other public service bumps are used to help educate and inform the targeted 13-16 year old viewers. *WHDH aired a special addition of this show on 12/30/00 with a repeat on 12/31/00. This special, The American Hgh School Sports Show, focused on high school students who nationally have stood out among their other teammates and made a significant contribution to high school sports.",99,N/A,N/A,N/A,,,,,
2000,WHDH,NBC,"Boston, MA",3.5,Analog,Awesome Adventures,Non-Core,Syndicated,Saturdays 6:30-7AM,13,0,30,6,11,"This half-hour series features fascinating ""awesome adventures"" for children every week. Children can experience volcanic explorations, the rapids of the Salmon River and Safaris throughout the world. This program informs, entertains, and educates children about the history and cultures of the places visited.",99,N/A,N/A,N/A,,,,,
2000,WHUB-TV,N/A,"Boston, MA",3,Analog,Beakman's World,Core,Syndicated,Mon-Fri 7:30-8AM & Mon-Fri 8:30-9AM,65,0,30,2,11,"A significant purpose of this half-hour magazine show is to educate and inform children, ages 2-11 about principles of science and nature. Beakman, an inquisitive scientist and the show's host answer children's questions about how the world works though revealing the relationship between principles of science and nature and explaining how they impact our daily lives. Beakman also performs entertaining and eye-opening experiments enhanced with state of the art visuals, which make learning fun and understandable for children.",99,N/A,N/A,N/A,,,,,
2000,WHUB-TV,N/A,"Boston, MA",3,Analog,Game Warden,Core,Syndicated,Saturdays 8-8:30AM & 12:30-1PM,12,1,30,13,16,"A significant purpose of this half-hour program is to educate young viewers about the importance of preserving and protecting our natural resources, wildlife and the environment. Note: 12/9/00: Pre-emption was due technical difficulties. WHUB-TV lost it's signal to transmit. The program was madegood same day from 3-3:30pm E.T.",N/A,N/A,N/A,N/A,,,,,
2000,WLVI-TV,WB Network,"Boston, MA",3.5,Analog,Detention,Core,Network,Fridays 3-3:30PM,13,0,30,6,11,"Detention is an animated series revolving around the boys and girls of the Benedict Arnold Middle School. By focusing on the relationships, adventures, and concerns of a group of middle school students, the series provides the young viewing audience with a non-threatening arena from which to observe and learn from the actions of others. Learning is engaging, natural and becomes part of the overall fun of the show.",99,N/A,N/A,N/A,,,,,
2000,WLVI-TV,WB Network,"Boston, MA",3.5,Analog,Histeria,Core,Network,Mon-Thurs 2-2:30PM & 2:30-3PM,52,0,30,6,12,"Histeria is an animated series intended to keep history alive by supplying youngsters with a portion of the historical frame of reference missing in the schools, and challenge them to proceed with future learning. The learning objective and goals are fully integrated with the story lines, characters and the historical settings dealt with in ""Histeria."" In this way, new knowledge and learning skills become part of the overall fun of the series.",99,N/A,N/A,N/A,,,,,
2000,WLVI-TV,WB Network,"Boston, MA",3.5,Analog,Jim Fowler's Life in the Wild,Core,Syndicated,Saturdays 7:30-8AM,13,0,30,13,16,"The key educational objective of this program is to create awareness and understanding of animals, and their interaction with their particular environment. Further, the role that humans play interacting with animals in the wild will be consistently explored.",99,N/A,N/A,N/A,,,,,
2000,WLVI-TV,WB Network,"Boston, MA",3.5,Analog,Generation 0!,Core,Network,Fridays 4:30-5 & 3:30-4PM,13,0,30,7,12,"Generation O! seeks to engage and delight young, grade-school children while promoting positive pro-social models of life-skills and character development as it portrays how an eight-year-old ""normal kid/famous rock star"" deals with the kinds of day-to-day problems that all children must confront.",99,N/A,N/A,N/A,,,,,
2000,WLVI-TV,WB Network,"Boston, MA",3.5,Analog,Jim Fowler's Life in the Wild,Non-Core,Syndicated,Sundays 6:30-7AM,13,0,30,13,16,"The key educational objective of this program is to create awareness and understanding of animals, and their interaction with their particular environment. Further, the role that humans play interacting with animals in the wild will be consistently explored.",99,N/A,N/A,N/A,,,,,
2000,WLVI-TV,WB Network,"Boston, MA",3.5,Analog,One Person Can Make a Difference,Non-Core,Local,(12/23) Saturday 8-9PM,1,0,60,12,18,"This WB56 News/FamilyFirst prime-time special on Team Harmony VII, “One Person Can Make A Difference” has the goal to motivate young people to make a positive difference in their lives. On Tuesday, December 5 with camera and mic in hand, WB56 captured live footage of thousands of local teens at the FleetCenter for Team Harmony VII. WB56’s “Ten O’Clock News” Anchors Karen Marinella and Jeff Barnd went behind-the-scenes, interviewing key-note speakers, performers, some amazing kids and motivating teachers who all “made a difference” at this year’s event. By combining entertainment, education and inspiration, the prime-time special will help spread Team Harmony’s anti-discrimination message throughout Massachusetts.",99,N/A,N/A,N/A,,,,,
2000,WMFP,N/A,"Boston, MA",3,Analog,New Zoo Review,Core,Syndicated,Saturdays 7-10AM,77,1,30,3,12,"New Zoo Review is a non-violent and enlightening program focusing on ethical, moral, and social issues. It received a four star rating from NEA and it is recognized by the National School Board. Each of the 195 episodes develops a variety of ethical, moral, and social issues (i.e. being neat, being yourself, sports, optimism, etc.) that can influence the behavior of young children in a very positive way. We continue to air this show because it is difficult to find an alternative to influence, positively and harmlessly, young children (3-12) as does New Zoo Review.",N/A,N/A,N/A,N/A,,,,,
